Country,Cancer,ASR,Crude_rate
Afghanistan,Breast cancer,29.4,17.9
Albania,Breast cancer,51.1,72.6
Algeria,Breast cancer,61.9,65.1
Angola,Prostate cancer,47.9,15.1
Argentina,Breast cancer,71.3,91.8
Armenia,Breast cancer,39.6,64.4
Australia,Skin cancer,177.1,297.7
Austria,Breast cancer,69.5,130.3
Azerbaijan,Breast cancer,32.9,42.6
Bahamas,Prostate cancer,89.1,102.2
Bahrain,Breast cancer,58.5,51.7
Bangladesh,Esophageal cancer,16.0,15.0
Barbados,Prostate cancer,100.5,188.4
Belarus,Prostate cancer,68.2,113.1
Belgium,Breast cancer,104.4,191.5
Belize,Breast cancer,46.8,41.0
Benin,Prostate cancer,38.0,16.4
Bhutan,Stomach cancer,15.9,14.6
Bolivia,Cervical cancer,38.7,37.0
Bosnia and Herzegovina,Breast cancer,51.9,92.8
Botswana,Cervical cancer,39.1,36.1
Brazil,Prostate cancer,76.3,97.0
Brunei Darussalam,Breast cancer,50.2,61.1
Bulgaria,Breast cancer,52.8,101.0
Burkina Faso,Prostate cancer,35.3,10.4
Burundi,Cervical cancer,43.6,22.9
Cabo Verde,Prostate cancer,43.6,27.0
Cambodia,Breast cancer,25.1,24.1
Cameroon,Breast cancer,48.6,30.2
Canada,Breast cancer,88.6,164.7
Central African Republic,Breast cancer,37.7,22.7
Chad,Prostate cancer,82.2,29.7
Chile,Prostate cancer,62.3,101.9
China,Lung cancer,40.8,75.1
Colombia,Prostate cancer,52.6,65.2
Comoros,Cervical cancer,52.0,36.3
Congo Republic,Prostate cancer,42.3,15.2
Costa Rica,Prostate cancer,45.6,69.4
Cote d'Ivoire,Prostate cancer,63.8,28.9
Croatia,Breast cancer,74.6,148.0
Cuba,Prostate cancer,58.1,119.4
Cyprus,Breast cancer,104.8,166.7
Czechia,Breast cancer,72.5,142.0
DR Congo,Prostate cancer,40.1,16.4
Denmark,Breast cancer,95.4,179.2
Djibouti,Breast cancer,38.1,37.2
Dominican Republic,Prostate cancer,86.1,89.1
Ecuador,Breast cancer,39.5,43.1
Egypt,Breast cancer,55.4,51.1
El Salvador,Prostate cancer,41.9,45.5
Eritrea,Breast cancer,37.8,27.5
Estonia,Prostate cancer,98.8,186.9
Eswatini,Cervical cancer,95.9,69.4
Ethiopia,Breast cancer,40.8,28.0
Fiji,Breast cancer,60.3,64.3
Finland,Breast cancer,92.3,191.1
France,Breast cancer,105.4,194.0
French Guiana,Prostate cancer,94.1,80.4
French Polynesia,Breast cancer,71.9,96.2
Gabon,Breast cancer,36.4,28.2
Gambia,Cervical cancer,39.4,25.2
Georgia,Breast cancer,49.0,83.2
Germany,Breast cancer,77.0,174.7
Ghana,Breast cancer,40.2,31.5
Greece,Breast cancer,82.4,171.1
Guadeloupe,Prostate cancer,157.5,358.4
Guam,Breast cancer,44.2,62.3
Guatemala,Prostate cancer,43.6,29.4
Guinea,Cervical cancer,55.0,35.8
Guinea-Bissau,Cervical cancer,34.3,21.3
Guyana,Prostate cancer,61.9,64.8
Haiti,Prostate cancer,69.8,50.4
Honduras,Prostate cancer,28.5,19.9
Hungary,Breast cancer,76.4,153.0
Iceland,Breast cancer,71.1,119.3
India,Breast cancer,26.6,28.4
Indonesia,Breast cancer,41.8,47.8
Iran,Breast cancer,30.5,36.3
Iraq,Breast cancer,56.9,41.4
Ireland,Prostate cancer,99.8,169.1
Israel,Breast cancer,78.7,103.2
Italy,Breast cancer,87.0,186.1
Jamaica,Prostate cancer,85.7,108.0
Japan,Breast cancer,74.4,143.0
Jordan,Breast cancer,60.0,51.1
Kazakhstan,Breast cancer,36.9,46.3
Kenya,Breast cancer,40.8,25.6
Kuwait,Breast cancer,49.8,52.6
Kyrgyz Republic,Breast cancer,25.3,25.1
Laos,Breast cancer,31.6,27.7
Latvia,Prostate cancer,97.3,194.8
Lebanon,Breast cancer,57.9,65.2
Lesotho,Cervical cancer,60.5,54.3
Liberia,Cervical cancer,39.6,27.2
Libya,Breast cancer,31.0,33.5
Lithuania,Prostate cancer,135.0,260.5
Luxembourg,Breast cancer,99.7,178.1
Madagascar,Cervical cancer,41.8,27.8
Malawi,Cervical cancer,70.9,46.0
Malaysia,Breast cancer,46.1,51.9
Maldives,Breast cancer,39.8,41.8
Mali,Cervical cancer,43.1,22.8
Malta,Breast cancer,86.3,174.5
Martinique,Prostate cancer,134.3,355.2
Mauritania,Breast cancer,34.5,24.6
Mauritius,Breast cancer,52.7,83.0
Mexico,Breast cancer,39.9,46.2
"Micronesia, Fed. Sts.",Breast cancer,43.9,48.0
Moldova,Breast cancer,46.6,77.4
Mongolia,Liver cancer,96.1,79.0
Montenegro,Breast cancer,76.5,131.1
Morocco,Breast cancer,58.4,67.1
Mozambique,Cervical cancer,47.8,32.1
Myanmar,Breast cancer,23.4,26.7
Namibia,Prostate cancer,63.8,27.2
Nepal,Breast cancer,14.4,13.9
Netherlands,Breast cancer,101.6,184.4
New Caledonia,Breast cancer,90.2,121.5
New Zealand,Skin cancer,157.3,272.4
Nicaragua,Prostate cancer,36.8,29.2
Niger,Breast cancer,29.5,16.6
Nigeria,Breast cancer,51.5,30.2
North Korea,Lung cancer,38.4,56.8
North Macedonia,Breast cancer,65.3,105.3
Norway,Prostate cancer,109.9,225.0
Oman,Breast cancer,34.0,30.2
Pakistan,Breast cancer,34.2,27.5
Palestine,Breast cancer,46.3,31.4
Panama,Prostate cancer,56.2,66.4
Papua New Guinea,Breast cancer,46.0,36.6
Paraguay,Breast cancer,58.4,57.6
Peru,Prostate cancer,40.1,51.1
Philippines,Breast cancer,60.3,59.0
Poland,Breast cancer,66.0,125.5
Portugal,Breast cancer,88.8,167.7
Puerto Rico,Prostate cancer,95.2,212.2
Qatar,Breast cancer,39.0,33.0
Reunion,Prostate cancer,59.6,104.5
Romania,Breast cancer,69.2,129.7
Russia,Breast cancer,57.7,100.8
Rwanda,Prostate cancer,36.4,15.2
Samoa,Breast cancer,88.8,76.9
Sao Tome and Principe,Prostate cancer,44.8,19.3
Saudi Arabia,Breast cancer,25.3,24.9
Senegal,Cervical cancer,34.3,22.9
Serbia,Breast cancer,60.5,111.0
Sierra Leone,Prostate cancer,21.2,9.0
Singapore,Breast cancer,72.6,126.0
Slovakia,Prostate cancer,69.2,135.6
Slovenia,Breast cancer,82.3,159.2
Solomon Islands,Breast cancer,49.2,36.4
Somalia,Breast cancer,38.6,21.4
South Africa,Prostate cancer,62.0,43.2
South Korea,Breast cancer,61.5,96.6
South Sudan,Breast cancer,28.0,18.5
Spain,Breast cancer,81.0,146.3
Sri Lanka,Breast cancer,27.7,40.5
St. Lucia,Prostate cancer,93.9,142.7
Sudan,Breast cancer,39.9,28.8
Suriname,Prostate cancer,75.2,71.1
Sweden,Prostate cancer,104.3,229.0
Switzerland,Breast cancer,77.4,150.4
Syria,Breast cancer,46.2,42.5
Tajikistan,Breast cancer,19.5,16.6
Tanzania,Cervical cancer,64.8,34.3
Thailand,Breast cancer,37.4,60.0
Timor-Leste,Breast cancer,26.4,19.3
Togo,Breast cancer,32.9,22.3
Trinidad and Tobago,Prostate cancer,73.6,111.7
Tunisia,Breast cancer,36.2,46.5
Turkmenistan,Breast cancer,31.1,31.8
TÃ¼rkiye,Breast cancer,46.8,58.3
Uganda,Cervical cancer,53.8,28.3
Ukraine,Breast cancer,43.1,78.1
United Arab Emirates,Breast cancer,57.1,36.3
United Kingdom,Breast cancer,94.0,169.7
United States,Breast cancer,95.9,162.2
Uruguay,Breast cancer,75.1,121.0
Uzbekistan,Breast cancer,27.8,29.2
Vanuatu,Breast cancer,29.6,23.3
Venezuela,Prostate cancer,52.3,57.1
Vietnam,Breast cancer,38.0,49.6
Yemen,Breast cancer,25.4,18.6
Zambia,Cervical cancer,71.5,37.0
Zimbabwe,Prostate cancer,68.3,23.3
